中,英文,日文,原產地,養殖/種植,生境,食用部位,食物種類,,域,,界,,門,,亞門,,綱,,亞綱,,目,,科,,亞科,,屬,,種,,
毛鰕（鰕皮）,,,,,,,,8/28/18,眞核域,Eukaryota,動物界,Metazoa,節肢動物門,Arthropoda,甲殼亞門,Crustacea,輭甲綱,Malacostraca,,,十足目,Decapoda,櫻鰕科,Sergestidae,,,毛鰕屬,Acetes,,,毛鰕（鰕皮）：眞核域(Eukaryota) > 動物界(Metazoa) > 節肢動物門(Arthropoda) > 甲殼亞門(Crustacea) > 輭甲綱(Malacostraca) > 十足目(Decapoda) > 櫻鰕科(Sergestidae) > 毛鰕屬(Acetes)
櫻鰕,,,,,,,,11/11/18,眞核域,Eukaryota,動物界,Metazoa,節肢動物門,Arthropoda,甲殼亞門,Crustacea,輭甲綱,Malacostraca,,,十足目,Decapoda,櫻鰕科,Sergestidae,,,櫻鰕屬,Sergia,櫻鰕,Sergia lucens,櫻鰕：眞核域(Eukaryota) > 動物界(Metazoa) > 節肢動物門(Arthropoda) > 甲殼亞門(Crustacea) > 輭甲綱(Malacostraca) > 十足目(Decapoda) > 櫻鰕科(Sergestidae) > 櫻鰕屬(Sergia) > 櫻鰕(Sergia lucens)
阿根廷紅鰕,,,,,,,,9/28/18,眞核域,Eukaryota,動物界,Metazoa,節肢動物門,Arthropoda,甲殼亞門,Crustacea,輭甲綱,Malacostraca,,,十足目,Decapoda,管鞭鰕科,Solenoceridae,,,？屬,Pleoticus,阿根廷紅鰕,Pleoticus muelleri,阿根廷紅鰕：眞核域(Eukaryota) > 動物界(Metazoa) > 節肢動物門(Arthropoda) > 甲殼亞門(Crustacea) > 輭甲綱(Malacostraca) > 十足目(Decapoda) > 管鞭鰕科(Solenoceridae) > ？屬(Pleoticus) > 阿根廷紅鰕(Pleoticus muelleri)
中華絨螯蟹/大閘蟹/河蟹,,,,,,,,11/6/18,眞核域,Eukaryota,動物界,Metazoa,節肢動物門,Arthropoda,甲殼亞門,Crustacea,輭甲綱,Malacostraca,,,十足目,Decapoda,弓蟹科,Varunidae,,,絨螯蟹屬,Eriocheir,中華絨螯蟹,Eriocheir sinensis,中華絨螯蟹/大閘蟹/河蟹：眞核域(Eukaryota) > 動物界(Metazoa) > 節肢動物門(Arthropoda) > 甲殼亞門(Crustacea) > 輭甲綱(Malacostraca) > 十足目(Decapoda) > 弓蟹科(Varunidae) > 絨螯蟹屬(Eriocheir) > 中華絨螯蟹(Eriocheir sinensis)
鰕仁（……）,,,,,,,,8/26/18,眞核域,Eukaryota,動物界,Metazoa,節肢動物門,Arthropoda,甲殼亞門,Crustacea,輭甲綱,Malacostraca,,,十足目,Decapoda,,,,,,,,,鰕仁（……）：眞核域(Eukaryota) > 動物界(Metazoa) > 節肢動物門(Arthropoda) > 甲殼亞門(Crustacea) > 輭甲綱(Malacostraca) > 十足目(Decapoda)
皮皮鰕/瀨尿鰕,,,,,,,,4/13/19,眞核域,Eukaryota,動物界,Metazoa,節肢動物門,Arthropoda,甲殼亞門,Crustacea,輭甲綱,Malacostraca,,,口足目,Stomatopoda,鰕蛄科,Squillidae,,,口鰕蛄屬,Oratosquilla,口鰕蛄,Oratosquilla oratoria,皮皮鰕/瀨尿鰕：眞核域(Eukaryota) > 動物界(Metazoa) > 節肢動物門(Arthropoda) > 甲殼亞門(Crustacea) > 輭甲綱(Malacostraca) > 口足目(Stomatopoda) > 鰕蛄科(Squillidae) > 口鰕蛄屬(Oratosquilla) > 口鰕蛄(Oratosquilla oratoria)
鱘,,,,,,,,2/4/19,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,輻鰭魚綱,Actinopteri,輭骨硬鱗魚亞綱,Chondrostei,鱘形目,Acipenseriformes,鱘科,Acipenseridae,,,鱘屬,Acipenser,,,鱘：眞核域(Eukaryota) > 動物界(Metazoa) > 脊索動物門(Chordata) > 脊椎動物(Vertebrata) > 輻鰭魚綱(Actinopteri) > 輭骨硬鱗魚亞綱(Chondrostei) > 鱘形目(Acipenseriformes) > 鱘科(Acipenseridae) > 鱘屬(Acipenser)
鰻魚,,,,,,,,9/11/18,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,輻鰭魚綱,Actinopteri,海鰱類,Elopocephala ,鰻鱺目,Anguilliformes,鰻鱺科,Anguillidae,,,鰻鱺屬,Anguilla,,,鰻魚：眞核域(Eukaryota) > 動物界(Metazoa) > 脊索動物門(Chordata) > 脊椎動物(Vertebrata) > 輻鰭魚綱(Actinopteri) > 海鰱類(Elopocephala ) > 鰻鱺目(Anguilliformes) > 鰻鱺科(Anguillidae) > 鰻鱺屬(Anguilla)
星鰻,,,,,,,,11/28/18,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,輻鰭魚綱,Actinopteri,海鰱類,Elopocephala ,鰻鱺目,Anguilliformes,糯鰻科,Congridae,糯鰻亞科,Congrinae,糯鰻屬,Conger,繁星糯鰻,Conger myriaster,星鰻：眞核域(Eukaryota) > 動物界(Metazoa) > 脊索動物門(Chordata) > 脊椎動物(Vertebrata) > 輻鰭魚綱(Actinopteri) > 海鰱類(Elopocephala ) > 鰻鱺目(Anguilliformes) > 糯鰻科(Congridae) > 糯鰻亞科(Congrinae) > 糯鰻屬(Conger) > 繁星糯鰻(Conger myriaster)
刀魚,,,,,,,,10/13/18,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,輻鰭魚綱,Actinopteri,鰾聽魚類,Otomorpha,鯡形目,Clupeiformes,鯷科,Engraulidae,,,鱭屬,Coilia,刀魚,Coilia nasus,刀魚：眞核域(Eukaryota) > 動物界(Metazoa) > 脊索動物門(Chordata) > 脊椎動物(Vertebrata) > 輻鰭魚綱(Actinopteri) > 鰾聽魚類(Otomorpha) > 鯡形目(Clupeiformes) > 鯷科(Engraulidae) > 鱭屬(Coilia) > 刀魚(Coilia nasus)
鳳尾魚（烤籽魚）,,,,,,,,10/15/18,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,輻鰭魚綱,Actinopteri,鰾聽魚類,Otomorpha,鯡形目,Clupeiformes,鯷科,Engraulidae,,,鱭屬,Coilia,鳳鱭,Coilia mystus,鳳尾魚（烤籽魚）：眞核域(Eukaryota) > 動物界(Metazoa) > 脊索動物門(Chordata) > 脊椎動物(Vertebrata) > 輻鰭魚綱(Actinopteri) > 鰾聽魚類(Otomorpha) > 鯡形目(Clupeiformes) > 鯷科(Engraulidae) > 鱭屬(Coilia) > 鳳鱭(Coilia mystus)
丁香魚,,かたくちいわし,,,,,,11/10/18,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,輻鰭魚綱,Actinopteri,鰾聽魚類,Otomorpha,鯡形目,Clupeiformes,鯷科,Engraulidae,,,鯷屬,Engraulis,日本鯷,Engraulis japonicus,丁香魚：眞核域(Eukaryota) > 動物界(Metazoa) > 脊索動物門(Chordata) > 脊椎動物(Vertebrata) > 輻鰭魚綱(Actinopteri) > 鰾聽魚類(Otomorpha) > 鯡形目(Clupeiformes) > 鯷科(Engraulidae) > 鯷屬(Engraulis) > 日本鯷(Engraulis japonicus)
小沙丁魚,,,,,,,,11/6/18,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,輻鰭魚綱,Actinopteri,鰾聽魚類,Otomorpha,鯡形目,Clupeiformes,鯡科,Clupeidae,鯡亞科,Clupeinae,小沙丁魚屬,Sardinella,長頭小沙丁魚,Sardinella longiceps,小沙丁魚：眞核域(Eukaryota) > 動物界(Metazoa) > 脊索動物門(Chordata) > 脊椎動物(Vertebrata) > 輻鰭魚綱(Actinopteri) > 鰾聽魚類(Otomorpha) > 鯡形目(Clupeiformes) > 鯡科(Clupeidae) > 鯡亞科(Clupeinae) > 小沙丁魚屬(Sardinella) > 長頭小沙丁魚(Sardinella longiceps)
泥鰍,oriental weatherfish,,,,,,,11/10/18,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,輻鰭魚綱,Actinopteri,鰾聽魚類,Otomorpha,鯉形目,Cypriniformes,鰍科,Cobitidae,鰍亞科,Cobitinae,泥鰍屬,Misgurnus,泥鰍,Misgurnus anguillicaudatus,泥鰍：眞核域(Eukaryota) > 動物界(Metazoa) > 脊索動物門(Chordata) > 脊椎動物(Vertebrata) > 輻鰭魚綱(Actinopteri) > 鰾聽魚類(Otomorpha) > 鯉形目(Cypriniformes) > 鰍科(Cobitidae) > 鰍亞科(Cobitinae) > 泥鰍屬(Misgurnus) > 泥鰍(Misgurnus anguillicaudatus)
鯽魚,,,,,,,,11/7/18,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,輻鰭魚綱,Actinopteri,鰾聽魚類,Otomorpha,鯉形目,Cypriniformes,鯉科,Cyprinidae,,,鯽屬,Carassius,鯽,Carassius auratus,鯽魚：眞核域(Eukaryota) > 動物界(Metazoa) > 脊索動物門(Chordata) > 脊椎動物(Vertebrata) > 輻鰭魚綱(Actinopteri) > 鰾聽魚類(Otomorpha) > 鯉形目(Cypriniformes) > 鯉科(Cyprinidae) > 鯽屬(Carassius) > 鯽(Carassius auratus)
鯪魚,,,,,,,,10/24/18,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,輻鰭魚綱,Actinopteri,鰾聽魚類,Otomorpha,鯉形目,Cypriniformes,鯉科,Cyprinidae,,,鯪屬,Cirrhinus,鯪,Cirrhinus molitorella,鯪魚：眞核域(Eukaryota) > 動物界(Metazoa) > 脊索動物門(Chordata) > 脊椎動物(Vertebrata) > 輻鰭魚綱(Actinopteri) > 鰾聽魚類(Otomorpha) > 鯉形目(Cypriniformes) > 鯉科(Cyprinidae) > 鯪屬(Cirrhinus) > 鯪(Cirrhinus molitorella)
草魚/鯇魚,,,,,,,,8/28/18,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,輻鰭魚綱,Actinopteri,鰾聽魚類,Otomorpha,鯉形目,Cypriniformes,鯉科,Cyprinidae,,,草魚屬,Ctenopharyngodon,草魚,Ctenopharyngodon idella,草魚/鯇魚：眞核域(Eukaryota) > 動物界(Metazoa) > 脊索動物門(Chordata) > 脊椎動物(Vertebrata) > 輻鰭魚綱(Actinopteri) > 鰾聽魚類(Otomorpha) > 鯉形目(Cypriniformes) > 鯉科(Cyprinidae) > 草魚屬(Ctenopharyngodon) > 草魚(Ctenopharyngodon idella)
翹嘴鮊/白水魚,,,,,,,,10/17/18,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,輻鰭魚綱,Actinopteri,鰾聽魚類,Otomorpha,鯉形目,Cypriniformes,鯉科,Cyprinidae,,,鮊屬,Culter,翹嘴鮊,Culter alburnus,翹嘴鮊/白水魚：眞核域(Eukaryota) > 動物界(Metazoa) > 脊索動物門(Chordata) > 脊椎動物(Vertebrata) > 輻鰭魚綱(Actinopteri) > 鰾聽魚類(Otomorpha) > 鯉形目(Cypriniformes) > 鯉科(Cyprinidae) > 鮊屬(Culter) > 翹嘴鮊(Culter alburnus)
鯉魚,carp,,,,,,,11/23/18,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,輻鰭魚綱,Actinopteri,鰾聽魚類,Otomorpha,鯉形目,Cypriniformes,鯉科,Cyprinidae,,,鯉屬,Cyprinus,鯉,Cyprinus carpio,鯉魚：眞核域(Eukaryota) > 動物界(Metazoa) > 脊索動物門(Chordata) > 脊椎動物(Vertebrata) > 輻鰭魚綱(Actinopteri) > 鰾聽魚類(Otomorpha) > 鯉形目(Cypriniformes) > 鯉科(Cyprinidae) > 鯉屬(Cyprinus) > 鯉(Cyprinus carpio)
䱗/白鰷/白條魚,,,,,,,,11/5/18,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,輻鰭魚綱,Actinopteri,鰾聽魚類,Otomorpha,鯉形目,Cypriniformes,鯉科,Cyprinidae,,,䱗屬,Hemiculter,條鰶,Hemiculter leucisculus,䱗/白鰷/白條魚：眞核域(Eukaryota) > 動物界(Metazoa) > 脊索動物門(Chordata) > 脊椎動物(Vertebrata) > 輻鰭魚綱(Actinopteri) > 鰾聽魚類(Otomorpha) > 鯉形目(Cypriniformes) > 鯉科(Cyprinidae) > 䱗屬(Hemiculter) > 條鰶(Hemiculter leucisculus)
鰱魚/白鰱,,,,,,,,9/19/18,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,輻鰭魚綱,Actinopteri,鰾聽魚類,Otomorpha,鯉形目,Cypriniformes,鯉科,Cyprinidae,,,鰱屬,Hypophthalmichthys,鰱魚,Hypophthalmichthys molitrix,鰱魚/白鰱：眞核域(Eukaryota) > 動物界(Metazoa) > 脊索動物門(Chordata) > 脊椎動物(Vertebrata) > 輻鰭魚綱(Actinopteri) > 鰾聽魚類(Otomorpha) > 鯉形目(Cypriniformes) > 鯉科(Cyprinidae) > 鰱屬(Hypophthalmichthys) > 鰱魚(Hypophthalmichthys molitrix)
鱅魚/胖頭魚/花鰱,,,,,,,,10/30/18,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,輻鰭魚綱,Actinopteri,鰾聽魚類,Otomorpha,鯉形目,Cypriniformes,鯉科,Cyprinidae,,,鰱屬,Hypophthalmichthys,鱅魚,Hypophthalmichthys nobilis,鱅魚/胖頭魚/花鰱：眞核域(Eukaryota) > 動物界(Metazoa) > 脊索動物門(Chordata) > 脊椎動物(Vertebrata) > 輻鰭魚綱(Actinopteri) > 鰾聽魚類(Otomorpha) > 鯉形目(Cypriniformes) > 鯉科(Cyprinidae) > 鰱屬(Hypophthalmichthys) > 鱅魚(Hypophthalmichthys nobilis)
青魚,black carp,,,,,,,10/26/18,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,輻鰭魚綱,Actinopteri,鰾聽魚類,Otomorpha,鯉形目,Cypriniformes,鯉科,Cyprinidae,,,青魚屬,Mylopharyngodon,青魚,Mylopharyngodon piceus,青魚：眞核域(Eukaryota) > 動物界(Metazoa) > 脊索動物門(Chordata) > 脊椎動物(Vertebrata) > 輻鰭魚綱(Actinopteri) > 鰾聽魚類(Otomorpha) > 鯉形目(Cypriniformes) > 鯉科(Cyprinidae) > 青魚屬(Mylopharyngodon) > 青魚(Mylopharyngodon piceus)
鯿魚,,,,,,,,9/15/18,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,輻鰭魚綱,Actinopteri,鰾聽魚類,Otomorpha,鯉形目,Cypriniformes,鯉科,Cyprinidae,,,鯿屬,Parabramis,鯿魚,Parabramis pekinensis,鯿魚：眞核域(Eukaryota) > 動物界(Metazoa) > 脊索動物門(Chordata) > 脊椎動物(Vertebrata) > 輻鰭魚綱(Actinopteri) > 鰾聽魚類(Otomorpha) > 鯉形目(Cypriniformes) > 鯉科(Cyprinidae) > 鯿屬(Parabramis) > 鯿魚(Parabramis pekinensis)
麥穗魚,,,,,,,,8/21/19,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,輻鰭魚綱,Actinopteri,鰾聽魚類,Otomorpha,鯉形目,Cypriniformes,鯉科,Cyprinidae,,,麥穗魚屬,Pseudorasbora,麥穗魚屬,Pseudorasbora parva,麥穗魚：眞核域(Eukaryota) > 動物界(Metazoa) > 脊索動物門(Chordata) > 脊椎動物(Vertebrata) > 輻鰭魚綱(Actinopteri) > 鰾聽魚類(Otomorpha) > 鯉形目(Cypriniformes) > 鯉科(Cyprinidae) > 麥穗魚屬(Pseudorasbora) > 麥穗魚屬(Pseudorasbora parva)
蝨目魚,,,,,,,,11/11/18,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,輻鰭魚綱,Actinopteri,鰾聽魚類,Otomorpha,鼠鱚目,Gonorynchiformes,蝨目魚科,Chanidae,,,蝨目魚屬,Chanos,蝨目魚,Chanos chanos,蝨目魚：眞核域(Eukaryota) > 動物界(Metazoa) > 脊索動物門(Chordata) > 脊椎動物(Vertebrata) > 輻鰭魚綱(Actinopteri) > 鰾聽魚類(Otomorpha) > 鼠鱚目(Gonorynchiformes) > 蝨目魚科(Chanidae) > 蝨目魚屬(Chanos) > 蝨目魚(Chanos chanos)
黃顙魚/黃辣丁/黃鴨叫/昂刺魚,,,,,,,,12/23/18,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,輻鰭魚綱,Actinopteri,鰾聽魚類,Otomorpha,鮎形目,Siluriformes,鮠科,Bagridae,,,瘋𩼝屬,Tachysurus,黃顙魚,Tachysurus fulvidraco,黃顙魚/黃辣丁/黃鴨叫/昂刺魚：眞核域(Eukaryota) > 動物界(Metazoa) > 脊索動物門(Chordata) > 脊椎動物(Vertebrata) > 輻鰭魚綱(Actinopteri) > 鰾聽魚類(Otomorpha) > 鮎形目(Siluriformes) > 鮠科(Bagridae) > 瘋𩼝屬(Tachysurus) > 黃顙魚(Tachysurus fulvidraco)
巴沙魚,,,,,,,,9/20/18,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,輻鰭魚綱,Actinopteri,鰾聽魚類,Otomorpha,鮎形目,Siluriformes,巨鮎科,Pangasiidae,,,巨鮎屬,Pangasius,博氏巨鮎,Pangasius bocourti,巴沙魚：眞核域(Eukaryota) > 動物界(Metazoa) > 脊索動物門(Chordata) > 脊椎動物(Vertebrata) > 輻鰭魚綱(Actinopteri) > 鰾聽魚類(Otomorpha) > 鮎形目(Siluriformes) > 巨鮎科(Pangasiidae) > 巨鮎屬(Pangasius) > 博氏巨鮎(Pangasius bocourti)
鮎魚,,,,,,,,9/30/18,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,輻鰭魚綱,Actinopteri,鰾聽魚類,Otomorpha,鮎形目,Siluriformes,鮎科,Siluridae,,,鮎屬,Silurus,花鮎,Silurus asotus,鮎魚：眞核域(Eukaryota) > 動物界(Metazoa) > 脊索動物門(Chordata) > 脊椎動物(Vertebrata) > 輻鰭魚綱(Actinopteri) > 鰾聽魚類(Otomorpha) > 鮎形目(Siluriformes) > 鮎科(Siluridae) > 鮎屬(Silurus) > 花鮎(Silurus asotus)
阿拉斯加狹鱈/明太魚,,すけたうだら,,,,,,9/3/18,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,輻鰭魚綱,Actinopteri,副棘鰭類,Paracanthopterygii,鱈形目,Gadiformes,鱈科,Gadidae,,,鱈屬,Gadus,黃線狹鱈,Gadus chalcogrammus,阿拉斯加狹鱈/明太魚：眞核域(Eukaryota) > 動物界(Metazoa) > 脊索動物門(Chordata) > 脊椎動物(Vertebrata) > 輻鰭魚綱(Actinopteri) > 副棘鰭類(Paracanthopterygii) > 鱈形目(Gadiformes) > 鱈科(Gadidae) > 鱈屬(Gadus) > 黃線狹鱈(Gadus chalcogrammus)
大西洋鱈,Atlantic cod,大西洋だら,,,,,,10/28/18,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,輻鰭魚綱,Actinopteri,副棘鰭類,Paracanthopterygii,鱈形目,Gadiformes,鱈科,Gadidae,,,鱈屬,Gadus,大西洋鱈,Gadus morhua,大西洋鱈：眞核域(Eukaryota) > 動物界(Metazoa) > 脊索動物門(Chordata) > 脊椎動物(Vertebrata) > 輻鰭魚綱(Actinopteri) > 副棘鰭類(Paracanthopterygii) > 鱈形目(Gadiformes) > 鱈科(Gadidae) > 鱈屬(Gadus) > 大西洋鱈(Gadus morhua)
細鱗壯鱈/水鱈魚,,,,,,,,12/4/18,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,輻鰭魚綱,Actinopteri,副棘鰭類,Paracanthopterygii,鱈形目,Gadiformes,鼠尾鱈科,Macrouridae,鼠尾鱈亞科,Macrourinae,壯鱈屬,Albatrossia,細鱗壯鱈,Albatrossia pectoralis,細鱗壯鱈/水鱈魚：眞核域(Eukaryota) > 動物界(Metazoa) > 脊索動物門(Chordata) > 脊椎動物(Vertebrata) > 輻鰭魚綱(Actinopteri) > 副棘鰭類(Paracanthopterygii) > 鱈形目(Gadiformes) > 鼠尾鱈科(Macrouridae) > 鼠尾鱈亞科(Macrourinae) > 壯鱈屬(Albatrossia) > 細鱗壯鱈(Albatrossia pectoralis)
黑魚/烏鱧,,,,,,,,8/31/18,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,輻鰭魚綱,Actinopteri,鱸形類,Percomorphaceae,攀鱸目,Anabantiformes,鱧科,Channidae,,,鱧屬,Channa,烏鱧,Channa argus,黑魚/烏鱧：眞核域(Eukaryota) > 動物界(Metazoa) > 脊索動物門(Chordata) > 脊椎動物(Vertebrata) > 輻鰭魚綱(Actinopteri) > 鱸形類(Percomorphaceae) > 攀鱸目(Anabantiformes) > 鱧科(Channidae) > 鱧屬(Channa) > 烏鱧(Channa argus)
秋刀魚,,,,,,,,9/4/18,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,輻鰭魚綱,Actinopteri,鱸形類,Percomorphaceae,頜針魚目,Beloniformes,頜針魚科,Belonidae,,,秋刀魚屬,Cololabis,秋刀魚,Cololabis saira,秋刀魚：眞核域(Eukaryota) > 動物界(Metazoa) > 脊索動物門(Chordata) > 脊椎動物(Vertebrata) > 輻鰭魚綱(Actinopteri) > 鱸形類(Percomorphaceae) > 頜針魚目(Beloniformes) > 頜針魚科(Belonidae) > 秋刀魚屬(Cololabis) > 秋刀魚(Cololabis saira)
飛魚,,,,,,,,9/24/18,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,輻鰭魚綱,Actinopteri,鱸形類,Percomorphaceae,頜針魚目,Beloniformes,飛魚科,Exocoetidae,,,,,,,飛魚：眞核域(Eukaryota) > 動物界(Metazoa) > 脊索動物門(Chordata) > 脊椎動物(Vertebrata) > 輻鰭魚綱(Actinopteri) > 鱸形類(Percomorphaceae) > 頜針魚目(Beloniformes) > 飛魚科(Exocoetidae)
馬步魚,,さより,,,,,,11/15/18,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,輻鰭魚綱,Actinopteri,鱸形類,Percomorphaceae,頜針魚目,Beloniformes,鱵科,Hemiramphidae,,,下鱵魚屬,Hyporhamphus,沙氏下鱵,Hyporhamphus sajori,馬步魚：眞核域(Eukaryota) > 動物界(Metazoa) > 脊索動物門(Chordata) > 脊椎動物(Vertebrata) > 輻鰭魚綱(Actinopteri) > 鱸形類(Percomorphaceae) > 頜針魚目(Beloniformes) > 鱵科(Hemiramphidae) > 下鱵魚屬(Hyporhamphus) > 沙氏下鱵(Hyporhamphus sajori)
金鯧,,,,,,,,11/12/18,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,輻鰭魚綱,Actinopteri,鱸形類,Percomorphaceae,鰺形目,Carangiformes,鰺科,Carangidae,,,鯧鰺屬,Trachinotus,布氏鯧鰺,Trachinotus baillonii,金鯧：眞核域(Eukaryota) > 動物界(Metazoa) > 脊索動物門(Chordata) > 脊椎動物(Vertebrata) > 輻鰭魚綱(Actinopteri) > 鱸形類(Percomorphaceae) > 鰺形目(Carangiformes) > 鰺科(Carangidae) > 鯧鰺屬(Trachinotus) > 布氏鯧鰺(Trachinotus baillonii)
竹筴魚,,,,,,,,9/11/18,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,輻鰭魚綱,Actinopteri,鱸形類,Percomorphaceae,鰺形目,Carangiformes,鰺科,Carangidae,,,竹筴魚屬,Trachurus,日本竹筴魚,Trachurus japonicus,竹筴魚：眞核域(Eukaryota) > 動物界(Metazoa) > 脊索動物門(Chordata) > 脊椎動物(Vertebrata) > 輻鰭魚綱(Actinopteri) > 鱸形類(Percomorphaceae) > 鰺形目(Carangiformes) > 鰺科(Carangidae) > 竹筴魚屬(Trachurus) > 日本竹筴魚(Trachurus japonicus)
大口黑鱸,largemouth bass,おほくちバス,,,,,,10/10/18,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,輻鰭魚綱,Actinopteri,鱸形類,Percomorphaceae,太陽魚目,Centrarchiformes,太陽魚科,Centrarchidae,,,黑鱸屬,Micropterus,大口黑鱸,Micropterus salmoides,大口黑鱸：眞核域(Eukaryota) > 動物界(Metazoa) > 脊索動物門(Chordata) > 脊椎動物(Vertebrata) > 輻鰭魚綱(Actinopteri) > 鱸形類(Percomorphaceae) > 太陽魚目(Centrarchiformes) > 太陽魚科(Centrarchidae) > 黑鱸屬(Micropterus) > 大口黑鱸(Micropterus salmoides)
鱖魚,,,,,,,,12/8/18,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,輻鰭魚綱,Actinopteri,鱸形類,Percomorphaceae,太陽魚目,Centrarchiformes,鱖魚科,Sinipercidae,,,鱖魚屬,Siniperca,鱖魚,Siniperca chuatsi,鱖魚：眞核域(Eukaryota) > 動物界(Metazoa) > 脊索動物門(Chordata) > 脊椎動物(Vertebrata) > 輻鰭魚綱(Actinopteri) > 鱸形類(Percomorphaceae) > 太陽魚目(Centrarchiformes) > 鱖魚科(Sinipercidae) > 鱖魚屬(Siniperca) > 鱖魚(Siniperca chuatsi)
羅非魚/非洲鯽魚/臺灣鯛,,,,,,,,10/14/18,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,輻鰭魚綱,Actinopteri,鱸形類,Percomorphaceae,慈鯛目,Cichliformes,慈鯛科,Cichlidae,,,口孵非鯽屬,Oreochromis,,,羅非魚/非洲鯽魚/臺灣鯛：眞核域(Eukaryota) > 動物界(Metazoa) > 脊索動物門(Chordata) > 脊椎動物(Vertebrata) > 輻鰭魚綱(Actinopteri) > 鱸形類(Percomorphaceae) > 慈鯛目(Cichliformes) > 慈鯛科(Cichlidae) > 口孵非鯽屬(Oreochromis)
海鱸魚,,,,,,,,8/31/18,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,輻鰭魚綱,Actinopteri,鱸形類,Percomorphaceae,單鰭魚形目,Pempheriformes,花鱸科,Lateolabracidae,,,花鱸屬,Lateolabrax,日本眞鱸,Lateolabrax japonicus,海鱸魚：眞核域(Eukaryota) > 動物界(Metazoa) > 脊索動物門(Chordata) > 脊椎動物(Vertebrata) > 輻鰭魚綱(Actinopteri) > 鱸形類(Percomorphaceae) > 單鰭魚形目(Pempheriformes) > 花鱸科(Lateolabracidae) > 花鱸屬(Lateolabrax) > 日本眞鱸(Lateolabrax japonicus)
